timestamp,open,high,low,close
19/05/23 9:16,344.2,361.7,333.35,347.1
19/05/23 9:17,352.5,362.5,343.7,358.85
19/05/23 9:18,364.6,373.05,358.6,369
19/05/23 9:19,364.3,370.2,350.05,366.3
19/05/23 9:20,357.8,365.25,356.55,357.65
19/05/23 9:21,379.6,379.75,363.5,378.9
19/05/23 9:22,365.9,379.8,357.65,359.45
19/05/23 9:23,349.9,361.5,348.35,357.1
19/05/23 9:24,362.6,367.35,355.4,362.35
19/05/23 9:25,353.6,360.4,345,348.15
19/05/23 9:26,339.2,350.05,338.1,342.6
19/05/23 9:27,346.7,351.25,334.9,344.15
19/05/23 9:28,342.9,346.95,335.55,336.2
19/05/23 9:29,335.8,344.9,332.25,341.7
19/05/23 9:30,342.4,348.75,334.75,343.65
19/05/23 9:31,354.7,357.5,344.15,354.65
19/05/23 9:32,360.7,367.5,354.7,358.6
19/05/23 9:33,345.3,360.2,344.85,351.65
19/05/23 9:34,358,363.95,350.95,356.9
19/05/23 9:35,366.2,367.05,356.5,358.9
19/05/23 9:36,359.4,371.75,359.35,371
19/05/23 9:37,399.5,402.85,364.85,393.75
19/05/23 9:38,410.1,410.7,392.15,400.05
19/05/23 9:39,399,404.55,395.5,402.6
19/05/23 9:40,415.2,416.75,401.2,416.75
19/05/23 9:41,408.8,423.05,404.45,409.4
19/05/23 9:42,413.9,419.05,403.5,417.45
19/05/23 9:43,409.3,419,408.3,409.5
19/05/23 9:44,402.6,416.7,397.55,415.05
19/05/23 9:45,414.2,416,409.55,415
19/05/23 9:46,419.1,420,412.25,420
19/05/23 9:47,421,421.25,394.65,401.3
19/05/23 9:48,418.7,430.55,400,428.6
19/05/23 9:49,422.6,434.7,421.2,429.45
19/05/23 9:50,440.2,444.65,429.8,441.65
19/05/23 9:51,458.6,468.85,445.3,457.25
19/05/23 9:52,460.1,465.8,448.2,461.95
19/05/23 9:53,473.6,478,453.1,469.6
19/05/23 9:54,471.6,476.8,460.65,471.55
19/05/23 9:55,470.3,483.15,469,480
19/05/23 9:56,476.6,509.05,472.2,503.6
19/05/23 9:57,504.1,508.9,492.4,503.05
19/05/23 9:58,490.2,508.1,486.45,490.85
19/05/23 9:59,497.1,503.4,489,499.6
19/05/23 10:00,502.9,511.35,498.6,506.05
19/05/23 10:01,507.7,508.35,497.2,506.2
19/05/23 10:02,541,548,507.5,541.95
19/05/23 10:03,534.4,544.45,528.2,529.65
19/05/23 10:04,534.7,543,519.05,538.15
19/05/23 10:05,565,571.9,538.5,570.95
19/05/23 10:06,581.4,593,560.7,560.7
19/05/23 10:07,556.5,565.4,535.7,552.5
19/05/23 10:08,548.6,561.4,542.95,559.25
19/05/23 10:09,561.7,566.25,551.15,563.85
19/05/23 10:10,579.4,580.65,561.85,567.6
19/05/23 10:11,567,568.8,535,543.5
19/05/23 10:12,538.5,543.3,505.1,505.1
19/05/23 10:13,536,544.45,512.45,531.35
19/05/23 10:14,536.6,543.05,525.6,530.75
19/05/23 10:15,536.6,536.75,518.05,521.55
19/05/23 10:16,518.7,528.55,503.8,509.6
19/05/23 10:17,515.4,516.75,508.05,514.4
19/05/23 10:18,496.8,519.95,492.7,494.7
19/05/23 10:19,508.4,511.85,493.8,508.95
19/05/23 10:20,510.5,536,504,536
19/05/23 10:21,534.4,537.1,518.4,530.7
19/05/23 10:22,517,528.75,516.05,522
19/05/23 10:23,529.8,538.4,523.7,532.4
19/05/23 10:24,550.3,553.4,537.95,547.8
19/05/23 10:25,521.3,547.15,514.35,521.35
19/05/23 10:26,522,537.65,520,524.4
19/05/23 10:27,514.4,524.2,510.8,514.75
19/05/23 10:28,513.3,521.5,505.65,514.2
19/05/23 10:29,513.6,519.95,506,511
19/05/23 10:30,498.1,510.45,486.7,488.4
19/05/23 10:31,489.7,502,477.55,500
19/05/23 10:32,495.2,497,475,488.2
19/05/23 10:33,484.5,494.6,483.35,486.2
19/05/23 10:34,494.4,497,481.6,491.65
19/05/23 10:35,498.7,503,485,491.2
19/05/23 10:36,504,505.75,490.8,494.1
19/05/23 10:37,491.6,499.5,489.9,495.45
19/05/23 10:38,502.5,510.05,498,502.45
19/05/23 10:39,512,520,502.3,514.45
19/05/23 10:40,514.1,545.4,512.95,544.5
19/05/23 10:41,543,567.3,540.15,554.7
